
[ START : main.exe ]

// Case 01 (00)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,eAS_VR                                           )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_VR               ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )

// Case 19 (537133056)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,NA                                               ,NA                                               )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )
(eAS_GAIN_TRANSIENT_MAY_DUCK|eAS_CALL             ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT_CAN_DUCK      ,true ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAS_GAIN_TRANSIENT_MAY_DUCK                      )

// Case 20 (268435456)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_VR                                           ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_VR                                           ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,NA                                               )
(eAS_VR                                           ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,NA                                               )
(eAS_VR                                           ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR                                           ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR                                           ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_VR                                           ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )

// Case 21 (1342177280)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR|eAS_NATIVE_TRANSIENT                      ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,NA                                               ,NA   ,NA                                               ,eAS_NATIVE_TRANSIENT                             )

// Case 22 (-1879048192)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT_CAN_DUCK      ,false,eAS_GAIN                                         ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_VOICESESSION_END                  ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_VR                                           )
(eAS_VR|eAS_NATIVE_TRANSIENT_MAY_DUCK             ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,NA                                               ,NA   ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )

// Case 23 (536870912)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_CALL                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_CALL                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,NA                                               )
(eAS_CALL                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,NA                                               )
(eAS_CALL                                         ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_CALL                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_CALL                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,NA                                               ,NA                                               )

// Case 24 (1610612736)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_CALL|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_CALL|eAS_NATIVE_TRANSIENT                    ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT                             )

// Case 25 (-1610612736)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,false,NA                                               ,NA                                               )
(eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_CALL_OFF                          ,NA                                               ,NA   ,NA                                               ,eAS_CALL                                         )
(eAS_CALL|eAS_NATIVE_TRANSIENT_MAY_DUCK           ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )

// Case 26 (268369920)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )

// Case 27 (-268435456)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

// Case 28 (-65536)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )

[ END   : main.exe ]
